MerchantId,MerchantCampaignName,DateCreated,DateModified,SKU,Name,Category,Description,Url,OriginalUrl,Image,Image50,Image100,Image120,Image200,Image300,Image400,Price,Brand,Colour,Currency,DeliveryCost,DeliveryTime,Features,Gender,Genre,Keywords,ContentRating,ModelNumber,Platform,PriceRrp,PriceSale,PromoText,Size,StockLevel,SubCategory,Custom1,Custom2,Custom3,Custom4
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0020,Village Inn Expansion,Toys &amp; Games &gt; Games &gt; Board Games,"Village Inn, the first expansion for the award-winning game Village, adds two new buildings to the village: the brewery and the inn. The brewery is a new craft building where you can acquire a new good: beer. In the inn you can meet a lot of influential people (in the form of cards), and you can acquire these villager cards by spending beer/coins and time. Each villager card has a unique ability that can be used once per game, giving either points and advantages during the game or additional points at the end of the game for certain achievements. In addition, Village Inn includes all necessary components for a fifth player.",https://t.cfjump.com/33917/p/33972479,http://www.ozgameshop.com/board-game-expansions/village-inn-expansion?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972479.jpg,http://c.cfjump.com/Products/11793/33972479@50x50.jpg,http://c.cfjump.com/Products/11793/33972479@100x100.jpg,http://c.cfjump.com/Products/11793/33972479@120x120.jpg,http://c.cfjump.com/Products/11793/33972479@200x200.jpg,http://c.cfjump.com/Products/11793/33972479@300x300.jpg,http://c.cfjump.com/Products/11793/33972479@400x400.jpg,39.99 AUD,Pegasus Spiele,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0037,Risk The Walking Dead Edition,Toys &amp; Games &gt; Games &gt; Board Games,"The world as we know it is over, as the Walkers spread and dominate the land. But a few pockets of humanity remain, surviving against all odds as they fight the diseased undead. But a greater threat thrives in this apocalyptic land...each other. Play as one of several groups of survivors as you use your wits, strategy and a little bit of luck to protect your lands from intruters, conquer new territories and fend off the Walker army who also try and destroy your group. Use special cards and missions, extra weapons and all your cunning to survive against all odds.",https://t.cfjump.com/33917/p/33972480,http://www.ozgameshop.com/strategy-board-games/risk-the-walking-dead-edition?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972480.jpg,http://c.cfjump.com/Products/11793/33972480@50x50.jpg,http://c.cfjump.com/Products/11793/33972480@100x100.jpg,http://c.cfjump.com/Products/11793/33972480@120x120.jpg,http://c.cfjump.com/Products/11793/33972480@200x200.jpg,http://c.cfjump.com/Products/11793/33972480@300x300.jpg,http://c.cfjump.com/Products/11793/33972480@400x400.jpg,62.99 AUD,Hasbro,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0044,Cosmic Encounter Cosmic Storm Board Game Expansion,Toys &amp; Games &gt; Games &gt; Board Games,"Cosmic Storm, the fourth expansion for Fantasy Flights version of Cosmic Encounter, sets the galaxy trembling as twenty-five new alien races come zipping through the cosmos. Guard yourself against the sticky-fingered Swindler, and stand in awe of the massive appetite of the Mouth. Cosmic Storm also adds ten space stations, which when attached to one of your home planets gives you additional powers to use in your encounters as long as you have at least one ship on that planet. Space station abilities like the &quot;Big Space Laser&quot; or the &quot;Alien Outpost&quot; shake up interstellar encounters and provide even more options for players to maximize their options on their quest for galactic supremacy! One thing&#39;s for sure - after Cosmic Storm, the universe will never be the same. Box Contains 25 x alien races 35 x cards 25 x flare cards 10 x space station cards 10 x space station markers 7 x Swindler tokens 1 x Sloth token",https://t.cfjump.com/33917/p/33972481,http://www.ozgameshop.com/board-game-expansions/cosmic-encounter-cosmic-storm-board-game-expansion?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972481.jpg,http://c.cfjump.com/Products/11793/33972481@50x50.jpg,http://c.cfjump.com/Products/11793/33972481@100x100.jpg,http://c.cfjump.com/Products/11793/33972481@120x120.jpg,http://c.cfjump.com/Products/11793/33972481@200x200.jpg,http://c.cfjump.com/Products/11793/33972481@300x300.jpg,http://c.cfjump.com/Products/11793/33972481@400x400.jpg,31.99 AUD,FANTASY FLIGHT GAMES,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0046,Pathfinder Player Companion Demon Hunters Handbook,Toys &amp; Games &gt; Games &gt; Board Games,"Raise your banner and lead the charge in your fight against the dreaded demons of the Abyss with Pathfinder Player Companion: Demon Hunter&#39;s Handbook! Whether you&#39;re crusading against the demons crawling from the horrific Worldwound or you&#39;ve traveled all the way to the Abyss to fight these fiends on their own turf, this volume will give you everything you need to face off against the forces of the demonic horde. Demon Hunter&#39;s Handbook contains player-focused, in-depth discussions of demons, how to slay them, and the best ways to survive encounters against these despicable foes. Each Pathfinder Player Companion includes new options and tools for every Pathfinder RPG player. Inside this book, you&#39;ll find: ?Traits and advice for characters whose pasts have been soiled by the taint of demons or their cultists. ?Tips and guidelines for joining Golarion&#39;s various demon-hunting organizations, as well as advice on how to start your own. ?New feats, rage powers for brawlers who seek to stand toe-to-toe with demonic foes, and archetypes like the cold iron warden-perfect for cult-busting inquisitors! ?Innovative new demon-slaying tools and weapons born from the efforts of the Mendevian Crusades. ?Details on the most heinous demonic foes, from the teeming rabble of the Abyss to unfathomable demon lords! ?In-depth details on the Worldwound and the Abyss, as well as traits for the unfortunate characters that hail from these dark realms. ?New spells, magic items, methods of demon interrogation, kits to prepare you for fights with demons, and much more! This Pathfinder Player Companion is intended for use with the Pathfinder Roleplaying Game, but can easily be incorporated into any fantasy game.",https://t.cfjump.com/33917/p/33972482,http://www.ozgameshop.com/board-game-guides-and-books/pathfinder-player-companion-demon-hunters-handbook?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972482.jpg,http://c.cfjump.com/Products/11793/33972482@50x50.jpg,http://c.cfjump.com/Products/11793/33972482@100x100.jpg,http://c.cfjump.com/Products/11793/33972482@120x120.jpg,http://c.cfjump.com/Products/11793/33972482@200x200.jpg,http://c.cfjump.com/Products/11793/33972482@300x300.jpg,http://c.cfjump.com/Products/11793/33972482@400x400.jpg,16.99 AUD,,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0047,Pathfinder Tales King Of Chaos Pathfiner Tales,Toys &amp; Games &gt; Games &gt; Board Games,"After a century of imprisonment, demons have broken free of the wardstones surrounding the Worldwound. As fiends flood south into civilized lands, Count Varian Jeggare and his hellspawn bodyguard Radovan must search through the ruins of a fallen nation for the blasphemous text that opened the gate to the Abyss in the first place-and which might hold the key to closing it. In order to succeed, however, the heroes will need to join forces with pious crusaders, barbaric local warriors, and even one of the legendary god callers. It&#39;s a race against time as the companions fight their way across a broken land, facing off against fiends, monsters, and a vampire intent on becoming the god of blood-but will unearthing the dangerous book save the world, or destroy it completely? From best-selling author Dave Gross comes a new adventure set against the backdrop of the Wrath of the Righteous Adventure Path in the award-winning world of the Pathfinder Roleplaying Game.",https://t.cfjump.com/33917/p/33972483,http://www.ozgameshop.com/board-game-guides-and-books/pathfinder-tales-king-of-chaos-pathfiner-tales?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972483.jpg,http://c.cfjump.com/Products/11793/33972483@50x50.jpg,http://c.cfjump.com/Products/11793/33972483@100x100.jpg,http://c.cfjump.com/Products/11793/33972483@120x120.jpg,http://c.cfjump.com/Products/11793/33972483@200x200.jpg,http://c.cfjump.com/Products/11793/33972483@300x300.jpg,http://c.cfjump.com/Products/11793/33972483@400x400.jpg,14.99 AUD,,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0054,Pathfinder Rpg Mythic Adventures Hardcover,Toys &amp; Games &gt; Games &gt; Board Games,"From humble beginnings to the lofty heights of world-spanning power, Mythic Adventures serves as the gateway to an entirely new style of high adventure, with innovative rules that fit seamlessly with all levels of standard Pathfinder RPG play. Whether you&#39;re creating an entire mythic campaign charting the journey of legendary heroes, or just a single session to give your characters a taste of greater power, Mythic Adventures has all the tools you need to craft an unforgettable game! Pathfinder Roleplaying Game: Mythic Adventures introduces six powerful mythic paths for characters to explore (archmage, champion, guardian, hierophant, marshall, and trickster), as well as new mythic feats, spells, magic items, artifacts, and legendary items, over 40 mythic monsters to challenge your characters, and an extensive guide to help Game Masters craft mythic stories.",https://t.cfjump.com/33917/p/33972485,http://www.ozgameshop.com/board-game-guides-and-books/-pathfinder-rpg-mythic-adventures-hardcover?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972485.jpg,http://c.cfjump.com/Products/11793/33972485@50x50.jpg,http://c.cfjump.com/Products/11793/33972485@100x100.jpg,http://c.cfjump.com/Products/11793/33972485@120x120.jpg,http://c.cfjump.com/Products/11793/33972485@200x200.jpg,http://c.cfjump.com/Products/11793/33972485@300x300.jpg,http://c.cfjump.com/Products/11793/33972485@400x400.jpg,51.49 AUD,,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0055,Pathfinder Adventure Path The Worldwound Incursion 73,Toys &amp; Games &gt; Games &gt; Board Games,Issue 73 Worldwound Incursion Pathfinder Adventure,https://t.cfjump.com/33917/p/33972486,http://www.ozgameshop.com/board-game-guides-and-books/pathfinder-adventure-path-the-worldwound-incursion-73?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972486.jpg,http://c.cfjump.com/Products/11793/33972486@50x50.jpg,http://c.cfjump.com/Products/11793/33972486@100x100.jpg,http://c.cfjump.com/Products/11793/33972486@120x120.jpg,http://c.cfjump.com/Products/11793/33972486@200x200.jpg,http://c.cfjump.com/Products/11793/33972486@300x300.jpg,http://c.cfjump.com/Products/11793/33972486@400x400.jpg,29.49 AUD,,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0109,Zombicide Walk Of The Dead Set 1,Toys &amp; Games &gt; Games &gt; Board Games,This box includes 24 zombies and 12 additional &quot;Walk of the Dead&quot; spawn cards to add them into any Zombicide base game.All zombie sculpts from this box are the same as the original Zombicide.i.e. 3 of each Zombie sculpt from Season 1 other than the Abomination.The Spawn cards consist #43 to #54 otherwise known as the &quot;Romero&quot; set and only contain only Walkers. &nbsp;,https://t.cfjump.com/33917/p/33972488,http://www.ozgameshop.com/miniature-board-games/zombicide-walk-of-the-dead-set-1?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972488.jpg,http://c.cfjump.com/Products/11793/33972488@50x50.jpg,http://c.cfjump.com/Products/11793/33972488@100x100.jpg,http://c.cfjump.com/Products/11793/33972488@120x120.jpg,http://c.cfjump.com/Products/11793/33972488@200x200.jpg,http://c.cfjump.com/Products/11793/33972488@300x300.jpg,http://c.cfjump.com/Products/11793/33972488@400x400.jpg,29.99 AUD,,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0111,Zombicide Angry Zombies,Toys &amp; Games &gt; Games &gt; Board Games,"This box includes 24 berserker zombies and 6 additional spawn cards to include them into any Zombicide base game.Sculpts of the zombies are from the Zombicde Season Two: Prison Outbreak, although three exclusive sculpts are included.Zombie sculpt breakdown15 Berserker Walkers (5 of a mix of 2 Box of Zombies only sculpts)6 Berserker Runners3 Berserker Fatties (2 of the Box of Zombies only sculpt)The Spawn cards come with a higher density of Berserker zombies than Prison Outbreak&#39;s deck. &nbsp;",https://t.cfjump.com/33917/p/33972490,http://www.ozgameshop.com/miniature-board-games/zombicide-angry-zombies?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972490.jpg,http://c.cfjump.com/Products/11793/33972490@50x50.jpg,http://c.cfjump.com/Products/11793/33972490@100x100.jpg,http://c.cfjump.com/Products/11793/33972490@120x120.jpg,http://c.cfjump.com/Products/11793/33972490@200x200.jpg,http://c.cfjump.com/Products/11793/33972490@300x300.jpg,http://c.cfjump.com/Products/11793/33972490@400x400.jpg,30.19 AUD,Cool Mini Or Not,,,,,,,,,,,,,,,,,,,,,
11793,ozgameshop.com,2017-01-16 21:17:49.533,2017-05-18 06:17:41.837,BOG0193,Jungle Speed Safari,Toys &amp; Games &gt; Games &gt; Board Games,"Normally, calm reigns supreme amongst the animals of the jungle, but when the time comes to eat, the animals gather round the forest of totems and their wild instincts take over. The hungriest animals race to catch their prey first. Others become angry and shout, while the chameleon hides. When the hunter appears, there is panic as the animals race to protect themselves! Jungle Speed Safari is a standalone game that&#39;s part of the Jungle Speed family. The core gameplay is the same, with players turning over cards from their personal stacks one by one in front of themselves and reacting when certain cards or combinations of cards appear, but Jungle Speed Safari features five wooden totems to grab instead of one, and you interact with them in different ways, with every card that&#39;s revealed possibly triggering an action. If a player reveals a hungry animal card, for example, all players must race to grab the appropriate totem to satisfy the animal. Whoever grabs that totem adds the hungry animal card to his score pile. Box Contains 5 Totems (Food) 42 Cards 1 Bag Rule Book Features: 2-6 Players 5+ age 15 Minute playtime A fast paced game for the whole family Perfect party game",https://t.cfjump.com/33917/p/33972493,http://www.ozgameshop.com/party-and-family-board-games/jungle-speed-safari?utm_source=commission+factory&amp;utm_medium=shopping&amp;utm_campaign=commission+factory+shopping+data+feed+(17/05/2017),http://c.cfjump.com/Products/11793/33972493.jpg,http://c.cfjump.com/Products/11793/33972493@50x50.jpg,http://c.cfjump.com/Products/11793/33972493@100x100.jpg,http://c.cfjump.com/Products/11793/33972493@120x120.jpg,http://c.cfjump.com/Products/11793/33972493@200x200.jpg,http://c.cfjump.com/Products/11793/33972493@300x300.jpg,http://c.cfjump.com/Products/11793/33972493@400x400.jpg,25.99 AUD,ASMODEE,,,,,,,,,,,,,,,,,,,,,
